Date,FireName,Location
6/2/1851,Black Thursday bushfires,Victoria
9/9/1895,Upper Blue Mountains fires,New South Wales
1/2/1898,Red Tuesday bushfires,Victoria
26/1/1926,1926 bushfires,Victoria
13/1/1939,Black Friday bushfires,Victoria
3/3/1942,"1942 Hamilton, South Gippsland bushfire",Victoria
22/12/1943,1943 Wangaratta bushfire,Victoria
14/1/1944,1944 Victorian bushfires,Victoria
18/11/1944,1944 Blue Mountains bushfire,New South Wales
1/1/1951,"Charleville Region, Qld: Bushfires",Queensland
1/12/1951,"Molongolo Valley, Mt, Stromlo, Red Hill, Woden Valley, Tuggeranong, Mugga bushfire",Australian Capital Territory
5/2/1952,Benalla bushfire,Victoria
2/1/1955,Black Sunday bushfires,South Australia
30/11/1957,"1957 Grose Valley bushfire, Blue Mountains",New South Wales
2/12/1957,"1957 Leura bushfire, Blue Mountains",New South Wales
20/1/1961,1961 Western Australian bushfires,Western Australia
14/1/1962,1962 Victorian bushfires,Victoria
17/1/1965,Longwood bushfire,Victoria
16/2/1965,1965 Gippsland bushfires,Victoria
5/3/1965,Southern Highlands bushfires,New South Wales
7/2/1967,Black Tuesday bushfires,Tasmania
19/2/1968,"1968 Dandenong Ranges, The Basin, Upwey bushfire",Victoria
29/11/1968,1968 Blue Mountains Bushfire,New South Wales
8/1/1969,1969 bushfires,Victoria
14/12/1972,1972 vic bushfire,Victoria
1/11/1974,"Thargomindah, Bulloo Shire, Boulia Urandangie, McKinlay Shire",Queensland
25/5/1976,"Julia Creek, Coalbrook Station, Hughenden, South Burnett, Nanango, Brisbane Valley, Inglewood",Queensland
12/2/1977,Western Districts bushfires,Victoria
17/12/1977,Blue Mountains Fires 1977,New South Wales
1/1/1978,1978 Western Australia bushfire,Western Australia
15/1/1978,1978 Bairnsdale bushfire,Victoria
4/4/1978,1978 Western Australian bushfires,Western Australia
28/12/1980,1980 Victoria bushfire,Victoria
3/11/1980,1980 Waterfall bushfire,New South Wales
9/1/1983,Grays Point bushfire,New South Wales
31/1/1983,1983 Cann River bushfire,Victoria
1/2/1983,1983 Victoria bushfire,Victoria
16/2/1983,Ash Wednesday bushfires,Victoria
16/2/1983,Ash Wednesday bushfires,South Australia
25/12/1984,1984 Western New South Wales grasslands bushfires,New South Wales
14/1/1985,Central Victoria bushfires,Victoria
27/12/1990,1990 VIC bushfire,Victoria
27/12/1993,1994 Eastern seaboard fires,New South Wales
1/9/1994,East Coast Bushfires,Queensland
8/1/1997,Wooroloo bushfire,Western Australia
21/1/1997,Dandenongs bushfire,Victoria
2/12/1997,Lithgow bushfire,New South Wales
2/12/1997,Menai bushfire,New South Wales
2/12/1997,Perth and South-West Region bushfires,Western Australia
9/1/1998,New Year's Eve bushfire,Victoria
2/12/1998,Linton bushfire,Victoria
18/12/2000,2020 Victoria Dadswell Bridge bushfire,Victoria
25/12/2001,Black Christmas bushfires,New South Wales
17/10/2002,Granite Belt Bushfires,Queensland
17/12/2002,Big Desert Fire,Victoria
18/1/2003,2003 Canberra bushfires,Australian Capital Territory
8/1/2003,2003 Eastern Victorian alpine bushfires,Victoria
10/1/2005,2005 Eyre Peninsula bushfire,South Australia
31/12/2005,2005 Victoria bushfire,Victoria
6/2/2006,"Pulletop bushfire, Wagga Wagga",New South Wales
1/12/2006,The Great Divides bushfire,Victoria
10/1/2007,Mt Bold bushfire,South Australia
4/2/2007,Dwellingup bushfire,Western Australia
6/12/2007,2007 Kangaroo Island bushfires,South Australia
30/12/2007,Boorabbin National Park,Western Australia
13/1/2009,Port Lincoln bushfire,South Australia
28/1/2009,2009 Delburn bushfire,Victoria
4/2/2009,Bunyip State Park bushfire,Victoria
7/2/2009,Black Saturday bushfires,Victoria
19/11/2009,2009 South Australia bushfire,South Australia
23/12/2009,2009 Port Lincoln bushfire,South Australia
4/1/2013,Tasmanian bushfires,Tasmania
18/1/2013,Warrumbungle bushfire,New South Wales
17/10/2013,2013 New South Wales bushfires,New South Wales
27/12/2011,Carnarvon bushfire complex,Western Australia
2/1/2015,2015 Sampson Flat bushfires,South Australia
29/1/2015,2015 O'Sullivan bushfire (Northcliffe – Windy Harbour),Western Australia
1/8/2015,2015 Wentworthfalls Winter Fire,New South Wales
15/11/2015,Perth Hills bushfire complex – Solus Group,Western Australia
25/11/2015,2015 Pinery bushfire,South Australia
11/2/2017,2017 New South Wales bushfires,New South Wales
5/9/2019,2019–20 Australian bushfire season,Nationwide